report_date_utc,brand,roll7_video_mentions,roll7_views,roll7_likes,roll7_comments,roll7_top_channels
2025-09-11,bibigo,15.0,20521.0,1388.0,28.0,
2025-09-09,pepero,9.0,25307.0,2276.0,136.0,
2025-09-11,binggrae,4.0,222322.0,5533.0,47.0,
2025-09-11,buldak,355.0,1710091.0,53697.0,1303.0,
2025-09-11,chapagetti,5.0,4615.0,51.0,4.0,
2025-09-11,chilsung,1.0,11.0,1.0,0.0,
2025-09-11,daesang,4.0,22247.0,936.0,7.0,
2025-09-11,dongwon tuna,1.0,5123.0,0.0,64.0,
2025-09-11,emart,18.0,5122.0,41.0,4.0,
2025-09-11,havmor,7.0,3275.0,67.0,3.0,
2025-09-11,bristol farms,1.0,386.0,5.0,0.0,
2025-09-09,ottogi,3.0,3596.0,284.0,4.0,
2025-09-09,otoki,2.0,3620.0,34.0,0.0,
2025-09-09,orion choco pie,3.0,3165.0,25.0,0.0,
2025-09-09,binggrae,3.0,86981.0,2665.0,34.0,
2025-09-09,buldak,175.0,445274.0,16326.0,401.0,
2025-09-09,chapagetti,3.0,2377.0,17.0,2.0,
2025-09-09,chilsung,1.0,9.0,1.0,0.0,
2025-09-09,daesang,2.0,8844.0,381.0,5.0,
2025-09-09,emart,5.0,473.0,4.0,2.0,
2025-09-09,havmor,3.0,1801.0,33.0,0.0,
2025-09-09,jin ramen,6.0,4484.0,309.0,4.0,
2025-09-09,jinro,1.0,1213.0,8.0,1.0,
2025-09-09,kooksoondang,1.0,3.0,1.0,0.0,
2025-09-09,kyochon,1.0,1470.0,17.0,0.0,
2025-09-09,lotte choco pie,10.0,34628.0,244.0,2.0,
2025-09-09,lotte mart,8.0,3162.0,22.0,0.0,
2025-09-09,melona,6.0,2097.0,21.0,4.0,
2025-09-09,milkis,3.0,4366.0,19.0,0.0,
2025-09-09,neoguri,1.0,1389.0,7.0,0.0,
2025-09-09,nongshim,10.0,26157.0,185.0,3.0,
2025-09-11,jin ramen,10.0,14554.0,910.0,15.0,
2025-09-11,jinro,8.0,1489.0,22.0,3.0,
2025-09-11,kooksoondang,1.0,4.0,1.0,0.0,
2025-09-11,kyochon,1.0,1534.0,24.0,0.0,
2025-09-12,buldak,577.0,3269163.0,83440.0,2160.0,
2025-09-12,chapagetti,11.0,7805.0,93.0,7.0,
2025-09-12,chilsung,1.0,12.0,1.0,0.0,
2025-09-12,daesang,6.0,29930.0,1262.0,9.0,
2025-09-12,dongwon tuna,1.0,6297.0,0.0,69.0,
2025-09-12,emart,27.0,7962.0,64.0,9.0,
2025-09-12,havmor,11.0,7676.0,190.0,4.0,
2025-09-12,jin ramen,15.0,23756.0,1106.0,19.0,
2025-09-12,jinro,10.0,2559.0,29.0,5.0,
2025-09-12,kooksoondang,1.0,4.0,1.0,0.0,
2025-09-12,kyochon,2.0,2466.0,51.0,0.0,
2025-09-12,lotte choco pie,29.0,450963.0,3086.0,10.0,
2025-09-12,lotte mart,30.0,16224.0,158.0,7.0,
2025-09-12,maxim coffee,2.0,913.0,8.0,0.0,
2025-09-12,melona,11.0,4860.0,70.0,7.0,
2025-09-12,milkis,7.0,10160.0,282.0,18.0,
2025-09-12,neoguri,5.0,1790.0,23.0,3.0,
2025-09-12,bristol farms,1.0,440.0,6.0,0.0,
2025-09-12,orion choco pie,6.0,10580.0,93.0,3.0,
