date,brand,as_of_date_utc,video_mentions,views,likes,comments,top_channels
2025-09-09,daesang,2025-09-14,2.0,26021.0,1045.0,8.0,JONGSUKNEWSS;VALOR BANGPINK (AB)
2025-09-09,lotte mart,2025-09-14,8.0,4471.0,46.0,0.0,LOTTE MART Indonesia;Alsayda humairah;LOTTE MART Vietnam
2025-09-09,maxim coffee,2025-09-14,0.0,0.0,0.0,0.0,
2025-09-09,melona,2025-09-14,6.0,3101.0,41.0,6.0,Mukbangs Be Like;Jahnice Vlog;Александр Чернышев
2025-09-09,terra beer,2025-09-14,0.0,0.0,0.0,0.0,
2025-09-09,starkist,2025-09-14,0.0,0.0,0.0,0.0,
2025-09-09,shin ramen,2025-09-14,12.0,58336.0,439.0,32.0,Rochelle Cha;Bubble Maan;annie antonio
2025-09-09,sempio,2025-09-14,3.0,26112.0,945.0,201.0,Scopri i segreti dei personaggi famosi;IA DETECTIVE ITALIA;Spettegolando
2025-09-09,samyang,2025-09-14,60.0,451462.0,44856.0,380.0,Nor Ranita;Khaira Khafi Daily;Adi Dharma
2025-09-09,samlip,2025-09-14,0.0,0.0,0.0,0.0,
2025-09-09,red baron,2025-09-14,6.0,3627.0,58.0,26.0,Bloo's Self Reliance;petak gemstone pacitan;TRFxSeries
2025-09-09,pulmuone,2025-09-14,0.0,0.0,0.0,0.0,
2025-09-09,pepero,2025-09-14,9.0,44713.0,3475.0,197.0,El lado izquierdo España;FELIX♥️ LOVES ♥️ STAYS;Anam khan
2025-09-09,ottogi,2025-09-14,3.0,15624.0,1081.0,8.0,EIKEIKEAT;ryyeoo;Calliah Vlogs
2025-09-09,otoki,2025-09-14,2.0,3908.0,35.0,0.0,Nogometna zveza Slovenije;Melissa's Leisures 
2025-09-09,orion choco pie,2025-09-14,3.0,5593.0,40.0,0.0,marim 012;smeh21vekacom;Stationery Stash Spot 
2025-09-09,nongshim,2025-09-14,10.0,199157.0,1067.0,6.0,달려라 버스 Dalida Bus;LCK Tiếng Việt;Ondřej Kruml
2025-09-09,neoguri,2025-09-14,1.0,1534.0,12.0,0.0,Orangemiya 오렌지미야
2025-09-09,milkis,2025-09-14,3.0,8254.0,29.0,0.0,SahabatSelamanyaTV;gonniels 7881  🇮🇩;☆Milkis ☆
2025-09-12,turtle chips,2025-09-13,1.0,1608.0,7.0,0.0,Pierre and Family Adventures
2025-09-14,toomba,2025-09-14,4.0,443980.0,21611.0,457.0,Stoney Choi;80's Punjabi Songs;강혜라TV
2025-09-06,buldak,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,binggrae,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,bibigo,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-05,turtle chips,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-05,toomba,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-05,shin ramen,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,chapagetti,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-05,sempio,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-05,red baron,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-05,samyang,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,chilsung,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,daesang,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,emart,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,pepero,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,ottogi,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,otoki,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,orion choco pie,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,nongshim,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,neoguri,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,milkis,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,melona,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,lotte mart,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,lotte choco pie,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,kyochon,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,kooksoondang,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,jinro,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,jin ramen,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-06,havmor,2025-09-09,0.0,0.0,0.0,0.0,
2025-09-09,nongshim,2025-09-12,10.0,110853.0,641.0,5.0,달려라 버스 Dalida Bus;LCK Tiếng Việt;Ondřej Kruml
2025-09-08,turtle chips,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-08,toomba,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-08,shin ramen,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-08,sempio,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-08,samyang,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-08,red baron,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-08,pulmuone,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-08,pepero,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-08,ottogi,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-08,otoki,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-08,samlip,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-09,orion choco pie,2025-09-12,3.0,5457.0,40.0,0.0,marim 012;smeh21vekacom;Stationery Stash Spot 
2025-09-09,neoguri,2025-09-12,1.0,1507.0,12.0,0.0,Orangemiya 오렌지미야
2025-09-09,milkis,2025-09-12,3.0,8041.0,29.0,0.0,SahabatSelamanyaTV;gonniels 7881  🇮🇩;☆Milkis ☆
2025-09-09,melona,2025-09-12,6.0,3047.0,40.0,6.0,Mukbangs Be Like;Jahnice Vlog;Александр Чернышев
2025-09-09,maxim coffee,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-09,lotte mart,2025-09-12,8.0,4313.0,40.0,0.0,LOTTE MART Indonesia;Alsayda humairah;LOTTE MART Vietnam
2025-09-09,lotte choco pie,2025-09-12,10.0,42391.0,279.0,2.0,YUM YUM CHOCOLATE ;Nandhini Vlogs;Avinash Patel
2025-09-06,kyochon,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-06,kooksoondang,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-06,jinro,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-06,jin ramen,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-06,havmor,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-06,emart,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-06,dongwon tuna,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-06,daesang,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-06,chilsung,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-06,chapagetti,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-06,bristol farms,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-06,binggrae,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-06,bibigo,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-06,buldak,2025-09-12,0.0,0.0,0.0,0.0,
2025-09-10,neoguri,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,milkis,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,melona,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,maxim coffee,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,lotte mart,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,lotte choco pie,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,nongshim,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,kyochon,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,jinro,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,jin ramen,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,havmor,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,emart,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,dongwon tuna,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,kooksoondang,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,orion choco pie,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,otoki,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,ottogi,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-11,daesang,2025-09-11,2.0,969.0,33.0,0.0,Justinseagulpaprika97;nitin vlogr
2025-09-11,chilsung,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-11,chapagetti,2025-09-11,2.0,1425.0,17.0,2.0,Yunkong윤콩;Eat With Kitten Kitten Li
2025-09-11,buldak,2025-09-11,180.0,384038.0,12088.0,532.0,떵개떵;Curious2Know;Janie DeVours
2025-09-11,bristol farms,2025-09-11,1.0,386.0,5.0,0.0,Cat
2025-09-11,binggrae,2025-09-11,1.0,271.0,3.0,2.0,K FOOD FIGHTERS
2025-09-11,bibigo,2025-09-11,5.0,2699.0,157.0,1.0,사왜사TV ;KRiSTiNAJAY;Văn Nhân
2025-09-10,turtle chips,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,toomba,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,shin ramen,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,samyang,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,red baron,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,pulmuone,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-10,pepero,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-07,sempio,2025-09-11,0.0,0.0,0.0,0.0,
2025-09-14,turtle chips,2025-09-14,1.0,679.0,3.0,0.0,Marilyn Pou
