video_id,as_of_date_utc,viewCount,likeCount,commentCount
KXdmq8AvHBQ,2025-09-03,197,0,0
zxVw0pKkjkM,2025-09-03,2724,18,32
A2Yxcp3lBCc,2025-09-03,2015,11,16
CcTtmdPIaqM,2025-09-03,2012,6,8
NtzJKwYFsfQ,2025-09-03,1,0,0
Z5A_Pb2FhmQ,2025-09-03,1413,21,0
_DCvRJaiCcA,2025-09-03,777,3,0
Z54mRiPVMq0,2025-09-03,76,2,7
Hoc51a_bGrA,2025-09-03,1,0,0
L1dAYziPXDM,2025-09-03,5,2,0
UpQxOQKsMUg,2025-09-03,1848,17,0
SBU9XWOFkBM,2025-09-03,1931,16,2
jf7HxRmrU3k,2025-09-03,884,14,3
8QfeHzL6_9Q,2025-09-03,1292,10,2
zvdj756OeXg,2025-09-03,1611,25,0
1mZw2Q2g-To,2025-09-03,1408,9,0
F_uwheCqInE,2025-09-03,44,6,2
r9cFFqtKmlg,2025-09-03,10314,324,8
u3ZP_QIUU10,2025-09-03,1421,7,0
DyazwT05v7w,2025-09-03,379,9,14
hRYX3GRIYbI,2025-09-03,1871,11,0
N8gAKpEe7d0,2025-09-03,2,0,0
piAPibntRlg,2025-09-03,8,2,0
3AeptcBWVo0,2025-09-03,3986,25,0
O8cbYwgixcE,2025-09-03,197,13,2
vcDRubRoEvw,2025-09-03,10,4,0
X-_7-VViuW0,2025-09-03,43,4,0
b0Vwjnbr8zw,2025-09-03,1705,0,0
SLe8fRCDdKQ,2025-09-03,15,4,0
6-7j8fvlu_M,2025-09-03,3616,19,101
qslDdUe2b0U,2025-09-03,1928,46,1
9PMBdXgUqDs,2025-09-03,25,0,2
xS0zlki1FSc,2025-09-03,2050,7,1
7g5RxVjOr3w,2025-09-03,26112,592,40
flSxm9hDo1w,2025-09-03,3,0,0
_Ux4pdfYR1E,2025-09-03,0,0,0
DqujYrleoBc,2025-09-03,1206,15,0
z9uR0QCF-5o,2025-09-03,587,23,5
UNaniuihnjg,2025-09-03,2751,32,2
dj0kLMIA2uE,2025-09-03,37,0,0
KskcIDDWBYA,2025-09-03,8,2,0
LrjephSMZUA,2025-09-03,1135,14,0
yFCRn9J9WJI,2025-09-03,1768,50,0
9c323KoPEVs,2025-09-03,1301,6,0
D95ZWOodFiw,2025-09-03,6289,112,3
-fiNWzJLUFk,2025-09-03,1437,5,2
NXw1vxuhARM,2025-09-03,1526,15,3
onS-xbD6pfI,2025-09-03,405,15,6
eFd_dLXN1-k,2025-09-03,1120,10,2
6VAN7b1wHf4,2025-09-03,3599,250,4
uqUwPpRKlH4,2025-09-03,17,4,0
LoAAo0IhKZU,2025-09-03,188,1,0
bKohDIdXrxY,2025-09-03,1120,14,5
mVREMsqsr8A,2025-09-03,1380,7,0
CVNqO4VlIDQ,2025-09-03,1307,2,0
lnJqS_reA8E,2025-09-03,162,0,1
1lBwowd77iI,2025-09-03,113,2,0
4T006RIhVm8,2025-09-03,1811,14,2
ILwKVgjoXjQ,2025-09-03,622,21,10
YnteKVOHw90,2025-09-03,3,1,0
af7BQnrAfog,2025-09-03,1501,14,0
mcu5FzGpid0,2025-09-03,2367,7,18
d0QMlMgX2DE,2025-09-03,1940,6,7
SLB7UEcfHmY,2025-09-03,3607,11,40
AmiKV0RbNpo,2025-09-03,1591,22,0
mCot3Chr2dM,2025-09-03,33242,106,0
xy5iunOIWYQ,2025-09-03,13629,293,0
xe-DH3q0cdU,2025-09-03,580,10,14
kaXEX0J9-DU,2025-09-03,3,2,0
V3Q8WCEf4oU,2025-09-03,914,7,0
cOMfIq_Yb40,2025-09-03,1201,7,0
vwt1ro3hHcM,2025-09-03,1189,7,3
9DPdSDQcXKc,2025-09-03,41,1,2
fR4YG7GvMPg,2025-09-03,165,6,5
vs7uB6q4W4o,2025-09-03,16,1,0
2dM3Vxax5fY,2025-09-03,83,0,0
RYpPeT6oEOU,2025-09-03,853,12,4
CU719LDO1Wc,2025-09-03,1507,11,0
utW3Cyz543w,2025-09-03,1863,31,1
kBRfyZOjCZM,2025-09-03,1334,8,0
VgV-oPPsGkg,2025-09-03,1211,18,0
GW6nOa0LVUg,2025-09-03,1976,19,4
VhfOmE8SsRA,2025-09-03,1174,35,0
6v4RzBP4ALg,2025-09-03,703,41,8
JDtLg0iuyic,2025-09-03,4,0,0
zEA97SGJEN8,2025-09-03,3946,271,6
0H5iq7RPA78,2025-09-03,620,11,0
wDx9I0A7aq0,2025-09-03,1133,53,4
dabsg_Nf5CQ,2025-09-03,1444,23,0
je4uuprrTsw,2025-09-03,6,0,0
2P4Do4LHU8A,2025-09-03,47213,662,12
QBnBdfVJfQ0,2025-09-03,19,2,4
jsDA-aq92Eo,2025-09-03,1749,5,0
6_WXK6luZS8,2025-09-03,783,22,3
jPBsKawQNAQ,2025-09-03,1427,17,1
Q-S-BwoBmwY,2025-09-03,19297,98,1
KTUljBnfDFk,2025-09-03,865,27,3
JRKIp_uImNw,2025-09-03,1,1,0
EWMZjcEHiOM,2025-09-03,47356,1852,31
tuVUcTUhiqk,2025-09-03,1,0,0
HFwfFGOkcpM,2025-09-03,1707,12,0
d_S_LFaXIBM,2025-09-03,1646,9,0
1jDJ2ClXa8I,2025-09-03,97,6,0
_bsc92ykrbA,2025-09-03,4,1,0
1BRvVYBT-XM,2025-09-03,19,1,0
